Votes,Rating,Metascore
757074,8.1,76
485820,7,65
157606,7.3,62
60545,7.2,59
393727,6.2,40
56036,6.1,42
258682,8.3,93
2490,6.4,71
7188,7.1,78
192177,7,41
232072,7.5,66
93103,7.8,74
323118,7.9,65
118151,7.7,81
8612,6.4,70
120259,6.6,61
211760,8.2,71
150823,6.7,58
102061,8.1,69
340798,8,81
19053,6.7,49
134213,7.9,96
1115,6.7,72
38552,6.5,56
127553,5.3,32
222,6.8,58.98504274
76193,8.3,58.98504274
523,4.7,58.98504274
66540,6.2,60
112813,5.9,36
48123,6.3,39
126030,7.5,67
275510,7.1,52
627797,8,65
46165,5.6,49
411656,7.9,75
1047747,8.6,74
293732,7.6,72
122853,6.9,54
241,7.1,58.98504274
120690,6.3,66
135095,7.5,99
496,2.7,58.98504274
37033,7.2,66
279,6.3,57
395025,6.7,45
17818,7.3,64
5103,5.6,58.98504274
164567,7.1,68
987,3.7,16
661608,8.1,81
41362,5.8,23
20221,5.6,18
321933,7.2,68
1791916,9,82
49190,7.3,79
121103,7.2,71
113322,7.4,51
3739,7,76
137608,7.5,74
472307,6.7,44
35870,6.8,65
102177,6.5,48
244474,4.1,46
913152,8.5,66
440209,7.7,58
39784,7.4,69
632842,8.1,90
291,7.5,61
89849,7.2,68
149791,5.9,49
78079,7.1,60
39134,7.5,76
43977,6.8,23
296853,8.1,78
498821,7.1,50
1045588,8.1,69
959065,8.3,69
552027,7.3,53
147717,5.3,60
1583625,8.8,74
105081,7.9,72
865134,8.2,75
636243,8.1,79
301249,7.2,67
455169,7,59
27869,6.4,49
935408,7.8,83
341170,7.8,68
162122,7.4,51
431185,8.1,74
187547,7,32
342429,8.1,62
106463,7.1,57
516895,7.4,66
175067,7.4,70
34110,8.6,79
9247,5.8,62
10181,6.3,77
937414,8.5,85
108836,7,55
570814,7,57
556097,8,80
7204,7.9,58.98504274
202973,7.3,56
115546,7.7,88
1954,5.4,40
117590,6.3,44
1004,5.8,48
339797,7.7,78
3712,6.3,44
486338,8.1,96
512,6.1,65
637104,7.7,52
590595,8.1,87
30761,5.8,42
50359,6.2,51
48969,8.8,58.98504274
192968,7.2,76
157026,7.4,77
101058,6.7,57
362093,6.7,48
53183,6,51
10428,7.4,58.98504274
1222645,8.5,78
198243,7.5,77
255483,5.7,32
69651,6.6,58
153481,6.4,51
499424,8,76
50953,7.3,79
109756,6,69
78328,6.4,59
477276,8.5,88
318051,7.1,61
200090,7.3,68
660286,8.1,91
386102,7.3,55
855604,8.1,63
13004,7.1,44
526324,8,82
34184,6.2,56
246360,7.8,81
224132,8.2,86
1039115,8.4,81
33418,8.1,84
47694,7.4,77
410249,7.6,56
442082,7.6,76
97623,6.2,42
50853,6.4,66
735604,7.2,68
4299,5.8,65
243230,7.6,82
1973,8.1,58.98504274
97618,4.7,29
400519,7,64
396714,7.4,68
291457,7.5,69
373244,7.9,81
5926,6,40
6946,7,63
552298,8,74
78043,6.1,47
495106,8,80
361449,5.2,56
156567,6.5,46
39723,7.3,51
76935,7.3,48
308981,6.8,60
332476,7.9,76
72778,7.9,84
2127,5.2,59
390531,8,90
451894,7.5,74
143069,6.5,60
337777,7.6,79
321442,7,71
137203,7.4,65
368912,7.3,64
43086,6.7,59
101781,6.8,83
117018,7,67
1176,5.9,58.98504274
22389,8,85
24003,6,51
11944,6.3,53
97454,6.6,66
461509,7.8,78
106364,6.3,75
27382,7.2,60
1445,5.6,42
268282,8.1,93
22107,5.8,48
355722,8.2,71
547368,6.9,66
3799,6.3,58.98504274
459304,8.1,73
532353,8.1,73
97082,6.3,52
471815,7.9,71
12193,6.5,47
79855,7.3,58
737719,7.9,79
70504,5.7,33
550011,7.8,65
5435,7.5,81
26089,7.5,90
227912,6.8,75
23713,6.7,67
161396,6.1,43
114290,5.3,63
531112,7.1,61
54679,5.8,49
443584,7,54
73568,5.5,25
542362,7.8,70
7044,5.7,41
1703,6.1,67
456749,7.7,66
61098,6.7,51
283445,7.1,73
136399,6.9,83
348551,7.8,71
334867,7,44
19660,7,79
121313,7.1,82
179450,6.4,51
268877,7,56
2382,4.8,35
498879,8.2,98
3305,5.2,50
247926,7.8,68
257472,7.4,75
66766,6.1,35
377336,8,67
41446,6.8,81
4895,3.9,31
530881,8.1,88
96852,5.9,35
332234,7.6,64
416689,8.2,94
1109,5.8,48
205365,6.5,38
148949,5.9,47
257426,7.6,63
382910,7.9,84
14708,7.4,83
188017,7.1,75
557965,8.6,57
178,4.9,50
50946,7.3,73
139831,7.9,72
342183,6.7,53
330305,7.5,68
611563,7.8,73
210349,5.8,41
422290,7.6,68
69823,6.4,58
664,7.1,76
440299,7.8,88
581518,8,79
21715,6.2,79
90556,7,64
59312,6,40
53441,4.9,53
75137,6,18
298651,7.5,55
388447,6.7,40
2384,3.7,58.98504274
547386,7.8,81
668651,7.9,58
432046,7.2,69
52144,8,79
4729,6.8,58.98504274
410125,7,54
280110,7.1,71
329683,7.7,78
36312,7,83
591023,7.2,62
492324,7.3,50
501769,7.6,57
220236,7.1,58.98504274
110773,7,66
122838,6,47
204874,6.1,33
30405,5.8,34
150121,5.3,40
26508,5.8,47
726,6.1,58.98504274
58782,7.5,72
226631,7.2,66
76327,5.7,58
96,7.7,58.98504274
577010,7.1,55
20514,6.6,26
34523,5.7,34
302268,6.8,62
43929,7.1,66
400682,8.1,92
249425,7.2,57
218996,7.5,60
295554,7,72
67033,5.5,55
105619,6.4,46
69509,6.7,81
57207,6.2,34
403,5.5,58.98504274
193479,6,45
59886,6.1,51
237221,7.7,53
103150,7.8,88
132580,6.8,86
385598,7.4,59
385325,7.5,71
199048,7,84
73093,5.2,33
1263,5.3,58.98504274
81429,6.2,55
300803,7.3,66
95960,6.5,48
616,6.4,74
203096,7.3,53
319025,6.7,53
510100,7.7,95
71149,6,34
37975,6,36
12643,7.4,54
62885,7,79
43085,5.4,51
34248,6.9,56
353305,7.3,72
352801,8,84
207497,7.4,86
339722,8.1,75
18201,6.1,58.98504274
564364,7.8,81
115,5.9,64
271301,7.8,69
93764,6.5,31
217464,6.6,46
452369,7.4,84
173320,6.4,52
36322,6.8,71
406219,6.2,59
92329,5.8,35
220664,7.7,66
379088,7.3,90
96617,5.1,47
320323,7.7,81
1396,7.3,83
97679,6.6,56
33352,7.1,47
45579,6.7,64
171970,6.3,42
59958,5.5,30
5496,7.4,58.98504274
299718,7.7,72
327838,6.6,67
221600,7.8,55
223065,6.9,51
14248,5.7,42
417663,7.8,72
409403,7.7,73
89059,6.3,72
677044,8,86
194329,5.5,52
286,6.9,58.98504274
474320,7,66
28326,5.7,38
702,6,62
335531,6.8,57
38430,6.3,36
312495,6.7,64
31776,6.9,71
7583,5.7,33
135706,6.9,68
175673,7.6,82
61812,7.1,64
137568,6.1,35
84016,7.6,76
169083,7.4,57
45867,6.6,67
217938,7.6,81
266508,7.8,83
154647,7.1,64
101092,5.6,27
221117,6.7,53
355362,6.7,60
220667,6.6,51
31913,6.3,63
31194,5.8,39
116112,7.2,82
102,5,43
114482,5.4,19
112288,7.2,51
342355,6.8,61
86417,5.5,23
26587,6,31
113686,6.1,72
159830,6.4,56
240,3.9,71
93972,7.1,58.98504274
410607,7.7,72
49041,6.7,29
40529,6.7,74
226661,7.4,95
316459,7.8,71
202380,6.6,65
74589,6.1,34
502961,7.8,50
108306,6.5,63
252119,7.3,65
35417,7.2,89
48161,5.6,38
34546,5.4,55
164,6.9,85
202890,7.8,58.98504274
357213,7.7,65
155010,7.2,72
164208,6.8,65
8914,5.7,35
35003,5.8,45
237887,6.2,48
100702,5.9,28
485075,7.8,70
122185,6.5,46
525700,8.1,85
43648,5.2,55
54216,6,58.98504274
238789,8.4,67
48297,4.7,34
494819,7,63
382459,7.4,73
223,6.4,56
81301,7.1,58.98504274
58421,7.1,33
156189,7.6,73
214825,6.6,41
220,5.6,63
181521,6.3,44
94977,7.5,87
156620,7.7,80
151409,7.4,81
4531,6,31
184152,6.6,58.98504274
213764,7.1,59
52331,7.9,81
309186,7.8,74
113272,5.9,53
556666,7,57
58720,7,49
126656,6.8,28
214994,6.5,41
202682,6.1,36
192263,8.3,76
241709,6.7,48
95119,6,34
182069,6.4,33
159736,7.3,69
294553,7.6,74
51235,6,42
8229,6.6,63
187760,7.5,69
57602,6.3,60
357436,7.5,48
255813,6.4,65
111558,6.9,61
556794,8,81
199900,6.7,64
337835,7.8,76
83941,6.4,65
297984,5.8,49
351059,7.5,78
481274,7.7,86
56332,7.4,54
278103,8.5,89
8404,5.7,48
61,8.3,71
41642,6.7,71
226619,7.2,67
93799,6.5,47
48400,6.3,52
17584,7.7,43
55781,6.3,58.98504274
254446,7.8,84
102954,6.7,81
84765,6.7,34
166489,6.6,56
504039,8,96
36091,6.5,66
241359,6.9,53
313803,7,64
44553,5.3,34
94707,6.3,78
565721,7.2,65
278379,6.8,58
298913,7.1,72
228339,7.4,34
722203,8.3,88
159364,6.3,43
77995,7.2,95
27428,6.5,68
52636,7.3,64
166872,7.9,63
291,5.7,54
107960,6.5,59
398972,7.7,76
83625,4.3,18
622089,7.8,96
144614,7.8,55
267820,7.2,53
170897,5,34
47289,7.1,72
42506,5.7,60
294950,7.1,72
137299,6,52
188769,6.9,41
513744,7.9,66
1356,6.2,51
24100,7.2,59
84927,5.3,48
1830,4.7,57
36156,6.6,58.98504274
36043,7,60
552,3.9,61
358932,6.6,58.98504274
26461,5.4,38
318058,6.4,62
245374,6.7,61
74674,6.9,47
12758,5.4,59
253858,7,58.98504274
352698,6.4,61
1024,7.2,77
143389,6.5,39
250811,7,50
24761,5.7,22
198,7.3,43
7115,6.1,58.98504274
137964,7.2,77
444417,7.4,59
27042,6.3,39
177247,7.1,58.98504274
4912,5.7,39
54787,6.7,76
10485,6.8,83
324898,6.5,53
391,6.8,68
22941,7.9,77
106381,5.8,45
17141,7.1,79
121847,4.3,27
9187,6.3,80
30074,7.1,33
30180,4.6,30
96688,7.1,77
148504,6.3,40
90372,6.9,47
115355,6.6,66
283282,6.5,45
133113,6.5,57
171169,6.8,53
290559,7.8,72
239772,6.1,57
47804,5.8,36
338369,6.3,42
432461,7.5,81
26521,6.1,58
68654,6.5,55
110825,6,39
150353,7.1,75
159582,7.1,51
374044,7.8,80
11900,6.8,62
238206,5.8,39
44425,6.8,58
273959,6.8,49
525646,7.6,76
44158,6.3,57
6809,4.9,37
125129,4.2,20
89885,5.1,36
60059,5.7,41
297395,7.6,87
190673,5.2,35
114006,7.2,59
142900,6,46
199860,7.3,64
293941,7.2,69
182074,7.8,76
25208,6.2,37
116118,7.1,69
122864,6.4,45
68306,6.1,42
97141,7.2,79
84083,6.6,39
63408,6.2,44
277123,7.9,67
183926,7.3,63
181432,6.7,40
40357,6.4,66
137684,6.4,47
89791,7.2,66
1630,5.1,90
338,7.4,58.98504274
116435,7.2,58.98504274
368556,6.9,57
33560,8.1,74
216932,7,78
71822,6.2,52
24387,7.6,93
130702,6.7,42
143564,7.5,68
199973,6.6,66
21089,6.3,48
277,4,53
29895,6.9,58.98504274
30053,6.3,52
249877,7.3,54
66400,7.3,72
127157,6.4,39
94069,6.6,49
78631,5.6,34
144715,6,26
210965,6.3,43
406540,6.7,58
7181,6,46
10700,6.1,58.98504274
74886,6.2,47
151519,6.7,55
261536,6.6,52
73491,7,85
6683,4.9,94
776897,8.4,58.98504274
309398,7,85
404884,7.5,74
195360,7.3,58
50402,5.6,59
178471,6.7,49
361105,8,64
110100,8.1,77
31149,4.8,18
4304,7.5,73
3564,5.5,72
595779,8.2,58.98504274
76469,6.6,42
173,3.2,57
27006,5.3,58.98504274
44111,5.6,30
296289,7.4,83
36300,6.4,36
219916,6.8,52
30875,6.7,68
482,6.4,82
240323,7,70
286722,7.9,100
178527,5.9,31
198006,7.7,82
2798,6.7,62
267872,7,64
54027,6.9,55
206707,7.7,72
140151,6.6,60
5796,7.1,88
75291,6.6,63
26320,5.7,32
136323,6.3,48
168875,6.5,45
422014,8,64
15514,6.1,42
47703,6.5,41
352023,7.6,94
231907,5.6,39
9285,5.9,50
233346,7.2,58
188004,6.7,49
80415,7.2,44
57874,6.5,56
2403,7.2,78
331902,6.7,64
104953,7.5,68
16164,6.5,87
112313,5.9,33
245144,7.7,36
534388,8,88
54486,7.6,82
252503,6.1,35
586669,8.3,92
157053,7.1,85
114144,5.4,39
23540,7.8,56
10708,6.5,58.98504274
90188,5.5,39
471109,7.9,79
177602,8.1,61
19636,6.1,58.98504274
86271,7.3,57
347567,7.2,69
1427,5.5,44
73835,6.5,58.98504274
494641,7,62
250012,7.1,60
106115,6.6,53
83788,6.5,44
4754,5.8,60
208632,7.1,58.98504274
5908,6.5,53
146812,7.4,48
18437,6.2,50
335757,6,35
11482,7.6,86
50388,7.3,67
92863,8.2,80
74664,5.8,46
141141,6.5,77
64557,6.6,38
96718,6.2,47
209700,5.8,68
236500,6.4,68
65824,6.7,60
95553,7.1,76
190385,6,30
26088,5.1,47
127983,6.2,61
209326,6.2,55
286543,6.6,63
309934,7.6,68
219116,6.8,47
71069,6.7,76
166342,6.3,42
201707,7,57
688,6.9,51
338280,6.6,46
16163,7.7,37
259182,7.5,83
4155,5.6,68
182305,7.1,57
17439,5.7,53
124554,5.2,31
29642,5.4,40
8998,6.6,54
144524,8.2,80
254904,7.6,80
25903,6.2,46
144779,6.1,44
313,4.6,60
3731,5.7,58.98504274
30035,6.1,65
91684,5.9,39
148943,7.2,68
92875,6.5,61
322536,7.9,67
154400,6.3,31
353,5,64
187302,7.3,58.98504274
2083,5.2,46
256,6.6,36
84893,5.2,58.98504274
290056,7.8,79
91229,7.5,38
151970,7.3,68
57826,7.3,73
156158,6.6,43
154588,5.7,41
103279,8.2,51
194236,6.7,58.98504274
351361,6.2,65
72515,6.3,56
25928,5.7,65
347798,6.6,58
2043,4.5,34
523893,8.1,74
82701,5.6,36
199193,7.3,51
110490,6.2,57
10871,5.1,35
9026,4.7,56
499,4.8,58.98504274
29912,7.2,58.98504274
218679,6.9,56
67196,6.5,34
128146,7.3,45
1031,6.5,77
31370,6.9,31
346154,7.8,83
378,6.8,37
11555,4.6,22
69157,6.7,44
366138,6.4,49
50241,6,58
92868,6.3,42
154936,6.6,56
4370,7.8,85
129252,6.6,40
178243,6.2,50
87887,7.3,77
304837,7.4,62
93883,6.5,57
199813,7,81
7091,4.3,23
196652,7.2,66
146566,6.2,59
103681,6.2,57
221073,6.8,64
52537,6,55
233148,6.6,50
115751,7.1,82
4771,6.8,65
4964,5.2,30
19309,6.7,60
142560,6.2,57
153448,7,42
72050,6.3,54
149779,7.8,83
285441,7.6,76
8755,5.4,27
294010,7.6,82
91106,5.4,37
564,4.6,63
13711,6.9,58.98504274
130153,6.8,65
180105,5.8,32
5855,7,72
4779,5.8,27
1427,5.3,25
5715,4.6,58.98504274
1391,5.3,77
160350,7.6,58.98504274
77207,1.9,15
171356,7.2,63
16917,6.4,54
67464,7.4,76
62719,5.7,29
225394,6.4,58
38804,6.3,24
5531,7.5,84
163144,5.5,54
8409,4.2,23
346,7.8,60
125190,6.3,40
15232,6.4,74
137117,7.1,80
95480,7.1,73
157499,6.8,69
276347,7.3,76
77447,6.7,55
77986,7.8,49
1066,6.3,64
69659,7.5,62
198395,6.8,48
111875,7.4,62
88829,6.8,63
208770,7.1,70
329788,7.6,73
9993,5.9,67
297093,6.6,49
55648,7.5,64
136642,6.4,52
206793,7.8,63
119376,7.2,40
2421,8.4,80
32310,6.2,54
100890,7.1,81
6175,6.3,41
61060,6.5,46
7402,6.9,78
20907,6.9,67
20194,6.6,51
270429,6.9,66
21569,7.7,70
59512,2.7,45
64584,5.4,31
113599,7,48
101301,6.6,39
221858,7,78
193579,6.9,59
160592,7.3,78
152145,5.8,41
159230,5.8,37
8365,6.9,68
125693,7.5,65
184564,6.3,42
173919,6.9,63
16361,6.1,43
253417,7.5,69
143517,6.8,85
82874,6.5,39
75262,5.5,53
281625,7.7,72
202,3.5,59
108156,6.2,58.98504274
264480,7.1,56
102547,5.5,53
187077,7.1,46
174553,7.1,55
61274,7.1,58.98504274
93036,7.9,64
172558,6.5,28
83976,5.5,24
27730,6.5,64
118905,5.6,58
55243,6.8,59
237565,7.9,76
190833,6.2,52
1455,6.2,43
12361,6.7,63
269581,6.9,62
64351,6.5,69
187004,6.6,70
17565,6.4,72
4204,4.7,68
117297,7.2,74
66265,7.2,65
33007,6.7,60
17962,7.5,81
257395,6.6,51
19351,6.7,29
199387,7.5,56
155078,6.1,51
67801,6.4,62
31651,6.3,32
152808,6.4,48
57921,6.8,38
246797,6.1,72
190244,4.9,45
91623,7.3,79
7475,5.9,23
3843,6.1,86
112902,7.1,58.98504274
39380,5.9,58
92170,6.8,46
924,5.4,52
2205,6.3,46
4669,6.2,82
137502,6.6,66
60655,4.4,33
64535,6.8,50
14689,7.3,83
279694,7.4,58.98504274
50255,6.1,58
192740,4.9,58
1292,5.8,73
62095,6.1,35
132098,6.4,49
72533,6.9,66
93322,7.2,58.98504274
3990,5.6,48
166512,4.9,33
2417,6.1,69
92076,7.8,74
211348,7.3,84
62403,4.3,27
65653,7.2,61
173731,6.4,43
81823,6.2,36
84158,5.2,32
192190,7.7,68
73567,6.2,40
271940,7.8,53
97141,7,61
10220,5.9,59
88260,6.7,50
60133,6.3,27
280,6.9,72
44227,7,58.98504274
1810,6.7,70
92378,7.3,58.98504274
1210,3.5,37
190855,6.5,58.98504274
37060,4.8,62
193491,6.9,58.98504274
64513,5.9,47
108544,6.2,52
6753,7.4,73
20966,6,37
31634,6.2,39
2229,5,38
10658,7,48
108772,7.6,70
12048,7,44
27312,5.3,33
95172,7.4,56
112729,6.5,30
21405,6.8,47
87904,5.6,31
88000,5.9,50
33688,6.3,30
63785,7.1,89
67637,7.5,58.98504274
129708,6.6,44
102697,8.5,42
45419,6.3,58.98504274
140900,5.9,37
164088,6.7,48
27585,6.2,45
73152,5.5,46
70699,6.2,50
4881,5.6,22
12435,5.3,11
